Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00       1/1           CxxTest::RealSuiteDescription::firstTest() [123]
                0.00    0.00       1/1           CxxTest::RealTestDescription::next() [116]
                0.00    0.00       1/12          CxxTest::Link::active() const [30]
                0.00    0.00       1/1           CxxTest::StaticSuiteDescription::tearDown() [134]
                0.00    0.00       1/1           CxxTest::TestTracker::leaveSuite(CxxTest::SuiteDescription const&) [94]
                0.00    0.00       1/4           CxxTest::setMaxDumpSize(unsigned int) [48]
-----------------------------------------------
                0.00    0.24       1/1           CxxTest::TestRunner::runAllTests(CxxTest::TestListener&) [4]
[7]    100.0    0.00    0.24       1         CxxTest::TestRunner::runWorld() [7]
                0.00    0.24       1/1           CxxTest::TestRunner::runSuite(CxxTest::SuiteDescription&) [6]
                0.00    0.00       2/12          CxxTest::TestTracker::tracker() [29]
                0.00    0.00       1/7           CxxTest::Link::Link() [34]
                0.00    0.00       1/1           CxxTest::TestRunner::WorldGuard::WorldGuard() [90]
                0.00    0.00       1/1           CxxTest::RealWorldDescription::setUp() [126]
                0.00    0.00       1/1           CxxTest::TestTracker::enterWorld(CxxTest::WorldDescription const&) [92]
                0.00    0.00       1/1           CxxTest::RealWorldDescription::firstSuite() [125]
                0.00    0.00       1/1           CxxTest::RealSuiteDescription::next() [122]
                0.00    0.00       1/12          CxxTest::Link::active() const [30]
                0.00    0.00       1/1           CxxTest::RealWorldDescription::tearDown() [127]
                0.00    0.00       1/1           CxxTest::TestTracker::leaveWorld(CxxTest::WorldDescription const&) [95]
                0.00    0.00       1/4           CxxTest::setMaxDumpSize(unsigned int) [48]
                0.00    0.00       1/2           CxxTest::WorldDescription::~WorldDescription() [65]
-----------------------------------------------
                0.00    0.24       1/1           CxxTest::TestRunner::runTest(CxxTest::TestDescription&) [5]
[8]    100.0    0.00    0.24       1         CxxTest::RealTestDescription::run() [8]
                0.00    0.24       1/1           TestDescription_TestMonodomainSlabLong_TestMonodomainSlabLongWithCornerNodesStimulated::runTest() [9]
-----------------------------------------------
                0.00    0.24       1/1           CxxTest::RealTestDescription::run() [8]
[9]    100.0    0.00    0.24       1         TestDescription_TestMonodomainSlabLong_TestMonodomainSlabLongWithCornerNodesStimulated::runTest() [9]
                0.00    0.24       1/1           TestMonodomainSlabLong::TestMonodomainSlabLongWithCornerNodesStimulated() [3]
-----------------------------------------------
                0.14    0.00 26620320/26620320     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [2]
[10]    58.3    0.14    0.00 26620320         void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag) [10]
-----------------------------------------------
                0.00    0.00       1/2668        CornerStimulusCellFactory::~CornerStimulusCellFactory() [79]
                0.00    0.00       1/2668        CornerStimulusCellFactory::CornerStimulusCellFactory() [78]
                0.00    0.00       4/2668        CornerStimulusCellFactory::FinaliseCellCreation(std::vector<AbstractCardiacCellInterface*, std::allocator<AbstractCardiacCellInterface*> >*, unsigned int, unsigned int) [151]
                0.00    0.00    2662/2668        CornerStimulusCellFactory::CreateCardiacCellForTissueNode(Node<3u>*) [152]
[17]     0.0    0.00    0.00    2668         boost::detail::sp_counted_base::release() [17]
                0.00    0.00       4/4           boost::detail::sp_counted_base::weak_release() [43]
                0.00    0.00       1/1           boost::detail::sp_counted_impl_p<EulerIvpOdeSolver>::dispose() [86]
                0.00    0.00       1/1           boost::detail::sp_counted_impl_p<SimpleStimulus>::dispose() [84]
