Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.79     0.00        1     0.00     0.00  char* CxxTest::numberToString<unsigned int>(unsigned int, char*, unsigned int, unsigned int, unsigned int)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealTestDescription::initialize(CxxTest::List&, CxxTest::SuiteDescription&, unsigned int, char const*)
  0.00      1.79     0.00        1     0.00     1.59  CxxTest::RealTestDescription::run()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealTestDescription::next()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealTestDescription::setUp()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealTestDescription::tearDown()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealTestDescription::RealTestDescription(CxxTest::List&, CxxTest::SuiteDescription&, unsigned int, char const*)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::DummyTestDescription::DummyTestDescription()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealSuiteDescription::initialize(char const*, unsigned int, char const*, CxxTest::List&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealSuiteDescription::next()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealSuiteDescription::firstTest()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealSuiteDescription::RealSuiteDescription(char const*, unsigned int, char const*, CxxTest::List&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealWorldDescription::firstSuite()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealWorldDescription::setUp()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::RealWorldDescription::tearDown()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::DummySuiteDescription::DummySuiteDescription()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::DummySuiteDescription::~DummySuiteDescription()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::DummyWorldDescription::DummyWorldDescription()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::DummyWorldDescription::~DummyWorldDescription()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::StaticSuiteDescription::doInitialize(CxxTest::TestSuite&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::StaticSuiteDescription::setUp()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::StaticSuiteDescription::tearDown()
